1	6	-6	6	0
2	6	6	6	0
3	-6	6	6	0
4	-6	-6	6	0
5	6	6	-6	0
6	6	-6	-6	0
7	-6	-6	-6	0
8	-6	6	-6	0
10	6	18	6	0
11	-6	18	6	0
13	6	18	-6	0
16	-6	18	-6	0
18	6	30	6	0
19	-6	30	6	0
21	6	30	-6	0
24	-6	30	-6	0
26	6	42	6	0
27	-6	42	6	0
29	6	42	-6	0
32	-6	42	-6	0
34	6	54	6	0
35	-6	54	6	0
37	6	54	-6	0
40	-6	54	-6	0
42	6	66	6	0
43	-6	66	6	0
45	6	66	-6	0
48	-6	66	-6	0
50	6	78	6	0
51	-6	78	6	0
53	6	78	-6	0
56	-6	78	-6	0
58	6	90	6	0
59	-6	90	6	0
61	6	90	-6	0
64	-6	90	-6	0
66	6	102	6	0
67	-6	102	6	0
69	6	102	-6	0
72	-6	102	-6	0
74	6	114	6	0
75	-6	114	6	0
77	6	114	-6	0
80	-6	114	-6	0
82	6	126	6	0
83	-6	126	6	0
85	6	126	-6	0
88	-6	126	-6	0
90	6	138	6	0
91	-6	138	6	0
93	6	138	-6	0
96	-6	138	-6	0
98	6	150	6	0
99	-6	150	6	0
101	6	150	-6	0
104	-6	150	-6	0
106	6	162	6	0
107	-6	162	6	0
109	6	162	-6	0
112	-6	162	-6	0
114	6	174	6	0
115	-6	174	6	0
117	6	174	-6	0
120	-6	174	-6	0
122	6	186	6	0
123	-6	186	6	0
125	6	186	-6	0
128	-6	186	-6	0
130	6	198	6	0
131	-6	198	6	0
133	6	198	-6	0
136	-6	198	-6	0
138	6	210	6	0
139	-6	210	6	0
141	6	210	-6	0
144	-6	210	-6	0
213	18	210	6	0
214	18	210	-6	0
217	18	-6	6	0
219	18	-6	-6	0
221	18	6	6	0
222	18	18	6	0
223	18	30	6	0
224	18	42	6	0
225	18	54	6	0
226	18	66	6	0
227	18	78	6	0
228	18	90	6	0
229	18	102	6	0
230	18	114	6	0
231	18	126	6	0
232	18	138	6	0
233	18	150	6	0
234	18	162	6	0
235	18	174	6	0
236	18	186	6	0
237	18	198	6	0
255	18	198	-6	0
256	18	186	-6	0
257	18	174	-6	0
258	18	162	-6	0
259	18	150	-6	0
260	18	138	-6	0
261	18	126	-6	0
262	18	114	-6	0
263	18	102	-6	0
264	18	90	-6	0
265	18	78	-6	0
266	18	66	-6	0
267	18	54	-6	0
268	18	42	-6	0
269	18	30	-6	0
270	18	18	-6	0
271	18	6	-6	0
289	30	210	6	0
290	30	210	-6	0
293	30	-6	6	0
295	30	-6	-6	0
297	30	6	6	0
298	30	18	6	0
299	30	30	6	0
300	30	42	6	0
301	30	54	6	0
302	30	66	6	0
303	30	78	6	0
304	30	90	6	0
305	30	102	6	0
306	30	114	6	0
307	30	126	6	0
308	30	138	6	0
309	30	150	6	0
310	30	162	6	0
311	30	174	6	0
312	30	186	6	0
313	30	198	6	0
331	30	198	-6	0
332	30	186	-6	0
333	30	174	-6	0
334	30	162	-6	0
335	30	150	-6	0
336	30	138	-6	0
337	30	126	-6	0
338	30	114	-6	0
339	30	102	-6	0
340	30	90	-6	0
341	30	78	-6	0
342	30	66	-6	0
343	30	54	-6	0
344	30	42	-6	0
345	30	30	-6	0
346	30	18	-6	0
347	30	6	-6	0
365	42	210	6	0
366	42	210	-6	0
369	42	-6	6	0
371	42	-6	-6	0
373	42	6	6	0
374	42	18	6	0
375	42	30	6	0
376	42	42	6	0
377	42	54	6	0
378	42	66	6	0
379	42	78	6	0
380	42	90	6	0
381	42	102	6	0
382	42	114	6	0
383	42	126	6	0
384	42	138	6	0
385	42	150	6	0
386	42	162	6	0
387	42	174	6	0
388	42	186	6	0
389	42	198	6	0
407	42	198	-6	0
408	42	186	-6	0
409	42	174	-6	0
410	42	162	-6	0
411	42	150	-6	0
412	42	138	-6	0
413	42	126	-6	0
414	42	114	-6	0
415	42	102	-6	0
416	42	90	-6	0
417	42	78	-6	0
418	42	66	-6	0
419	42	54	-6	0
420	42	42	-6	0
421	42	30	-6	0
422	42	18	-6	0
423	42	6	-6	0
555	-6	-6	18	0
556	42	-6	18	0
560	42	210	18	0
561	-6	210	18	0
563	6	-6	18	0
564	18	-6	18	0
565	30	-6	18	0
586	42	6	18	0
587	42	18	18	0
588	42	30	18	0
589	42	42	18	0
590	42	54	18	0
591	42	66	18	0
592	42	78	18	0
593	42	90	18	0
594	42	102	18	0
595	42	114	18	0
596	42	126	18	0
597	42	138	18	0
598	42	150	18	0
599	42	162	18	0
600	42	174	18	0
601	42	186	18	0
602	42	198	18	0
603	30	210	18	0
604	18	210	18	0
605	6	210	18	0
609	-6	198	18	0
610	-6	186	18	0
611	-6	174	18	0
612	-6	162	18	0
613	-6	150	18	0
614	-6	138	18	0
615	-6	126	18	0
616	-6	114	18	0
617	-6	102	18	0
618	-6	90	18	0
619	-6	78	18	0
620	-6	66	18	0
621	-6	54	18	0
622	-6	42	18	0
623	-6	30	18	0
624	-6	18	18	0
625	-6	6	18	0
643	6	6	18	0
644	6	18	18	0
645	6	30	18	0
646	6	42	18	0
647	6	54	18	0
648	6	198	18	0
649	6	66	18	0
650	6	78	18	0
651	6	174	18	0
652	6	186	18	0
653	6	90	18	0
654	6	102	18	0
655	6	114	18	0
656	6	126	18	0
657	6	138	18	0
658	6	150	18	0
659	6	162	18	0
660	18	6	18	0
661	18	18	18	0
662	18	30	18	0
663	18	42	18	0
664	18	54	18	0
665	18	198	18	0
666	18	66	18	0
667	18	78	18	0
668	18	174	18	0
669	18	186	18	0
670	18	90	18	0
671	18	102	18	0
672	18	114	18	0
673	18	126	18	0
674	18	138	18	0
675	18	150	18	0
676	18	162	18	0
677	30	6	18	0
678	30	18	18	0
679	30	30	18	0
680	30	42	18	0
681	30	54	18	0
682	30	198	18	0
683	30	66	18	0
684	30	78	18	0
685	30	174	18	0
686	30	186	18	0
687	30	90	18	0
688	30	102	18	0
689	30	114	18	0
690	30	126	18	0
691	30	138	18	0
692	30	150	18	0
693	30	162	18	0
745	-6	-6	30	0
746	42	-6	30	0
750	42	210	30	0
751	-6	210	30	0
753	6	-6	30	0
754	18	-6	30	0
755	30	-6	30	0
776	42	6	30	0
777	42	18	30	0
778	42	30	30	0
779	42	42	30	0
780	42	54	30	0
781	42	66	30	0
782	42	78	30	0
783	42	90	30	0
784	42	102	30	0
785	42	114	30	0
786	42	126	30	0
787	42	138	30	0
788	42	150	30	0
789	42	162	30	0
790	42	174	30	0
791	42	186	30	0
792	42	198	30	0
793	30	210	30	0
794	18	210	30	0
795	6	210	30	0
799	-6	198	30	0
800	-6	186	30	0
801	-6	174	30	0
802	-6	162	30	0
803	-6	150	30	0
804	-6	138	30	0
805	-6	126	30	0
806	-6	114	30	0
807	-6	102	30	0
808	-6	90	30	0
809	-6	78	30	0
810	-6	66	30	0
811	-6	54	30	0
